"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"12/08/2014","-1000.00","Main d'oeuvre Saff: kamel","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"12/08/2014","-1000.00","Matériel Electricité","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité"
"11/08/2014","-32.00","briques","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","-170.00","Ciment","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","-50.00","sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","-15.00","Transport sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"11/08/2014","-40.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"09/08/2014","-65.00","Carburant","","","> Dépenses> Auto> Essence","> Actifs> Porte-monnaie","NON",""
"09/08/2014","-50.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"09/08/2014","-12.00","Extracteur","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"09/08/2014","-600.00","Matériel plomberie","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"09/08/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"07/08/2014","100.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/08/2014","-12.00","4xBaguette pour faience","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"05/08/2014","131.00","Remboursement Siceram (par terre sdb)","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"02/08/2014","10000.00","Retrait pour travaux","","","> Actifs> Placement> Bourse> Compte bourse moon","> Actifs> Porte-monnaie","NON",""
"02/08/2014","-180.00","Matériel plomberie: deux douchettes","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"02/08/2014","-600.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Plombier"
"01/08/2014","-20.00","café distributeur","","","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON",""
"01/08/2014","-2.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"31/07/2014","-7.00","Coiffeur","","","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON",""
"31/07/2014","-35.00","Golf Soukra","","","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON",""
"30/07/2014","500.00","ATM EL AGBA","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","500.00","ATM EL AGBA","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","500.00","ATM EL AGBA","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","500.00","ATM EL AGBA","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","50.00","ATM SOUK ETTROUK","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"29/07/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"27/07/2014","-10.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"25/07/2014","-50.00","Evacuation déchets plombier & electricien","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Ouvrier"
"25/07/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"25/07/2014","-500.00","Main d'oeuvre Saff: kamel","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"25/07/2014","-600.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Electricien"
