"Date","N°/Type","Description","Mémo","Montant EUR","Compte","Catégorie","Pointé","Labels"
"01/03/2014","","Soiree Mariage Yahia","","-150.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"27/02/2014","","fucacca","","-15.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"26/02/2014","","Mechoui","","-20.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"22/02/2014","","Peage(Hammamet)","","-2.50","> Dépenses> Auto> Autres> Peages","> Actifs> Porte-monnaie","NON","Quotidien"
"22/02/2014","","dejeuner: chapati + crepe","","-7.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"22/02/2014","","entretien 80k (courroie distribution;etc)","","-650.00","> Dépenses> Auto> Entretien","> Actifs> Porte-monnaie","NON","Quotidien"
"21/02/2014","","Versement pour entretien voiture & autres","","800.00","> Actifs> Placement> Bourse> Compte bourse principal","> Actifs> Porte-monnaie","NON",""
"21/02/2014","","Café","","-4.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"21/02/2014","","Ritrove degli artisti","","-80.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"17/02/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"15/02/2014","","BAR Grand Hotel","","-12.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"14/02/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"14/02/2014","","Fleurs st valentin","","-40.00","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula;Quotidien"
"13/02/2014","","Carburant","","-57.00","> Dépenses> Auto> Essence","> Actifs> Porte-monnaie","NON","Quotidien"
"12/02/2014","","Café","","-10.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"12/02/2014","","Ghassen","","-60.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"10/02/2014","","Café","","-4.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"08/02/2014","","parking central park","","-6.00","> Dépenses> Auto> Autres> Parking","> Actifs> Porte-monnaie","NON","Quotidien"
"08/02/2014","","salon de the: Brooklyn","","-22.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"08/02/2014","","salon de the: centre ville","","-20.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"07/02/2014","","Café","","-4.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"07/02/2014","","pes","","-5.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"06/02/2014","","remboursement Malik benthala","","30.00","> Dépenses> Loisirs> Cinema/theatre","> Actifs> Porte-monnaie","NON","Quotidien"
"06/02/2014","","remboursement part des copains","","180.00","> Dépenses> Loisirs> Cinema/theatre","> Actifs> Porte-monnaie","NON","Quotidien"
"06/02/2014","","Moving: eau","","-2.00","> Dépenses> Bien être et soins> Sport","> Actifs> Porte-monnaie","NON","Quotidien"
"05/02/2014","","Café","","-4.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"05/02/2014","","dejeuner: 2 kafteji","","-3.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"04/02/2014","","Tennis: eau","","-2.00","> Dépenses> Bien être et soins> Sport","> Actifs> Porte-monnaie","NON","Quotidien"
"04/02/2014","","Café","","-2.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"03/02/2014","","DAB CACS AB","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"03/02/2014","","café distributeur","","-5.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"03/02/2014","","Café","","-3.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"01/02/2014","","Solde initial","","-293.00","> Divers> Soldes initiaux","> Actifs> Porte-monnaie","NON",""
"01/02/2014","","dejeuner: 2 kafteji","","-3.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"01/02/2014","","reparation Phare","","-13.00","> Dépenses> Auto> Entretien","> Actifs> Porte-monnaie","NON","Quotidien"
"01/02/2014","","reparation serrure boite aux lettres","","-4.00","> Dépenses> Logement> chez moi","> Actifs> Porte-monnaie","NON",""
"01/02/2014","","Coiffeur","","-7.00","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON","Quotidien"
"31/01/2014","","Moving: eau","","-1.00","> Dépenses> Bien être et soins> Sport","> Actifs> Porte-monnaie","NON","Quotidien"
"30/01/2014","","café distributeur","","-5.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"30/01/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"29/01/2014","","Cloture du compte","","50.00","> Actifs> Comptes chèques> Attijari","> Actifs> Porte-monnaie","NON",""
"29/01/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"29/01/2014","","plat tunisien","","-3.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"29/01/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"29/01/2014","","bon gusto","","-12.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
